v_mm,a_mm
0.0,117.7627
1.0,117.3100
2.0,116.8992
3.0,116.5284
4.0,116.1958
5.0,115.8999
6.0,115.6391
7.0,115.4128
8.0,115.2431
9.0,115.1436
10.0,115.1073
11.0,115.0816
12.0,115.0555
13.0,115.0290
14.0,115.0021
15.0,114.9750
16.0,114.9477
17.0,114.9201
18.0,114.8923
19.0,114.8643
20.0,114.8362
21.0,114.8081
22.0,114.7800
23.0,114.7520
24.0,114.7241
25.0,114.6965
26.0,114.6691
27.0,114.6421
28.0,114.6155
29.0,114.5894
30.0,114.5639
31.0,114.5390
32.0,114.5148
33.0,114.4914
34.0,114.4688
35.0,114.4472
36.0,114.4265
37.0,114.4069
38.0,114.3884
39.0,114.3712
40.0,114.3552
41.0,114.3405
42.0,114.3273
43.0,114.3155
44.0,114.3054
45.0,114.2968
46.0,114.2900
47.0,114.2850
48.0,114.2819
49.0,114.2807
50.0,114.2815
51.0,114.2844
52.0,114.2895
53.0,114.2968
54.0,114.3064
55.0,114.3185
56.0,114.3330
57.0,114.3501
58.0,114.3699
59.0,114.3923
60.0,114.4175
61.0,114.4455
62.0,114.4762
63.0,114.5096
64.0,114.5456
65.0,114.5841
66.0,114.6253
67.0,114.6690
68.0,114.7151
69.0,114.7637
70.0,114.8146
71.0,114.8679
72.0,114.9236
73.0,114.9815
74.0,115.0416
75.0,115.1039
76.0,115.1683
77.0,115.2349
78.0,115.3035
79.0,115.3741
80.0,115.4467
81.0,115.5213
82.0,115.5977
83.0,115.6760
84.0,115.7561
85.0,115.8379
86.0,115.9215
87.0,116.0067
88.0,116.0936
89.0,116.1821
90.0,116.2721
91.0,116.3636
92.0,116.4566
93.0,116.5510
94.0,116.6468
95.0,116.7440
96.0,116.8424
97.0,116.9420
98.0,117.0429
99.0,117.1449
100.0,117.2480
101.0,117.3522
102.0,117.4574
103.0,117.5636
104.0,117.6707
105.0,117.7787
106.0,117.8876
107.0,117.9972
108.0,118.1077
109.0,118.2188
110.0,118.3306
111.0,118.4430
112.0,118.5560
113.0,118.6697
114.0,118.7867
115.0,118.9078
116.0,119.0328
117.0,119.1619
118.0,119.2950
119.0,119.4321
120.0,119.5732
121.0,119.7183
122.0,119.8674
123.0,120.0205
124.0,120.1776
125.0,120.3386
126.0,120.5036
127.0,120.6726
128.0,120.8455
129.0,121.0224
130.0,121.2033
131.0,121.3880
132.0,121.5767
133.0,121.7693
134.0,121.9658
135.0,122.1662
136.0,122.3705
137.0,122.5787
138.0,122.7907
139.0,123.0066
140.0,123.2264
141.0,123.4500
142.0,123.6774
143.0,123.9086
144.0,124.1437
145.0,124.3825
146.0,124.6251
147.0,124.8715
148.0,125.1217
149.0,125.3756
150.0,125.6332
151.0,125.8946
152.0,126.1597
153.0,126.4420
154.0,126.7959
155.0,127.2239
156.0,127.7227
157.0,128.2889
158.0,128.9188
159.0,129.6090
160.0,130.3561
161.0,131.1566
162.0,132.0069
163.0,132.9035
164.0,133.8431
165.0,134.8220
166.0,135.8370
167.0,136.8845
168.0,137.9611
169.0,139.0633
170.0,140.1880
171.0,141.3315
172.0,142.4907
173.0,143.6621
174.0,144.8425
175.0,146.0285
176.0,147.2170
177.0,148.4045
178.0,149.5880
179.0,150.7641
180.0,151.9297
181.0,153.0816
182.0,154.2165
183.0,155.3314
184.0,156.4230
185.0,157.4883
186.0,158.5241
187.0,159.5273
188.0,160.4948
189.0,161.4234
190.0,162.3101
191.0,163.1518
192.0,163.9453
193.0,164.6876
194.0,165.3756
195.0,166.0062
196.0,166.5763
197.0,167.0828
198.0,167.5226
199.0,167.8926
200.0,168.1897
201.0,168.4107
202.0,168.5524
203.0,168.6121
204.0,168.6147
205.0,168.6188
206.0,168.6253
207.0,168.6336
208.0,168.6430
209.0,168.6527
210.0,168.6623
211.0,168.6708
212.0,168.6778
213.0,168.6826
214.0,168.6843
215.0,168.6826
216.0,168.6765
217.0,168.6655
218.0,168.6489
219.0,168.6260
220.0,168.5962
