# FRONT piece boundary — closed 3D loop on the shell surface; coordinates mm, x lateral (+ wearer's left), y front-to-back (+ front), z height above waist
# piece split at the SOLVED armhole theta = +-102.9660 deg
segment,theta_deg,x_mm,y_mm,z_mm
neckline edge,-102.9660,-133.235,-13.589,180.601
neckline edge,-102.8801,-133.310,-13.407,180.635
neckline edge,-102.7943,-133.384,-13.224,180.670
neckline edge,-102.7084,-133.459,-13.041,180.705
neckline edge,-102.6226,-133.533,-12.858,180.740
neckline edge,-102.5368,-133.607,-12.675,180.775
neckline edge,-102.4509,-133.680,-12.492,180.810
neckline edge,-102.3651,-133.754,-12.308,180.845
neckline edge,-102.2792,-133.827,-12.125,180.881
neckline edge,-102.1934,-133.900,-11.941,180.916
neckline edge,-102.1076,-133.972,-11.757,180.952
neckline edge,-102.0217,-134.045,-11.574,180.988
neckline edge,-101.9359,-134.117,-11.390,181.024
neckline edge,-101.8500,-134.189,-11.206,181.061
neckline edge,-101.7642,-134.261,-11.023,181.097
neckline edge,-101.6784,-134.333,-10.839,181.134
neckline edge,-101.5925,-134.405,-10.655,181.171
neckline edge,-101.5067,-134.476,-10.471,181.208
neckline edge,-101.4208,-134.547,-10.287,181.245
neckline edge,-101.3350,-134.619,-10.103,181.283
neckline edge,-101.2491,-134.690,-9.919,181.321
neckline edge,-101.1633,-134.760,-9.734,181.359
neckline edge,-101.0775,-134.831,-9.550,181.397
neckline edge,-100.9916,-134.902,-9.365,181.435
neckline edge,-100.9058,-134.972,-9.181,181.474
neckline edge,-100.8199,-135.042,-8.996,181.513
neckline edge,-100.7341,-135.112,-8.812,181.552
neckline edge,-100.6483,-135.182,-8.627,181.591
neckline edge,-100.5624,-135.252,-8.443,181.631
neckline edge,-100.4766,-135.322,-8.258,181.671
neckline edge,-100.3907,-135.392,-8.074,181.711
neckline edge,-100.3049,-135.461,-7.889,181.751
neckline edge,-100.2191,-135.531,-7.704,181.792
neckline edge,-100.1332,-135.600,-7.519,181.833
neckline edge,-100.0474,-135.670,-7.334,181.874
neckline edge,-99.9615,-135.739,-7.149,181.915
neckline edge,-99.8757,-135.808,-6.964,181.957
neckline edge,-99.7899,-135.878,-6.779,181.999
neckline edge,-99.7040,-135.947,-6.594,182.042
neckline edge,-99.6182,-136.016,-6.409,182.084
neckline edge,-99.5323,-136.085,-6.224,182.127
neckline edge,-99.4465,-136.154,-6.040,182.171
neckline edge,-99.3607,-136.223,-5.855,182.214
neckline edge,-99.2748,-136.292,-5.670,182.258
neckline edge,-99.1890,-136.361,-5.485,182.303
neckline edge,-99.1031,-136.430,-5.299,182.347
neckline edge,-99.0173,-136.499,-5.114,182.392
neckline edge,-98.9314,-136.567,-4.929,182.438
neckline edge,-98.8456,-136.636,-4.744,182.483
neckline edge,-98.7598,-136.705,-4.558,182.529
neckline edge,-98.6739,-136.774,-4.373,182.576
neckline edge,-98.5881,-136.843,-4.188,182.623
neckline edge,-98.5022,-136.912,-4.003,182.670
neckline edge,-98.4164,-136.981,-3.818,182.717
neckline edge,-98.3306,-137.050,-3.633,182.765
neckline edge,-98.2447,-137.119,-3.448,182.813
neckline edge,-98.1589,-137.188,-3.263,182.862
neckline edge,-98.0730,-137.257,-3.078,182.911
neckline edge,-97.9872,-137.326,-2.893,182.961
neckline edge,-97.9014,-137.396,-2.708,183.010
neckline edge,-97.8155,-137.465,-2.522,183.061
neckline edge,-97.7297,-137.534,-2.337,183.111
neckline edge,-97.6438,-137.604,-2.153,183.162
neckline edge,-97.5580,-137.673,-1.968,183.214
neckline edge,-97.4722,-137.743,-1.783,183.266
neckline edge,-97.3863,-137.813,-1.598,183.318
neckline edge,-97.3005,-137.883,-1.413,183.371
neckline edge,-97.2146,-137.953,-1.228,183.425
neckline edge,-97.1288,-138.023,-1.043,183.478
neckline edge,-97.0430,-138.093,-0.858,183.532
neckline edge,-96.9571,-138.163,-0.673,183.587
neckline edge,-96.8713,-138.233,-0.489,183.642
neckline edge,-96.7854,-138.304,-0.304,183.698
neckline edge,-96.6996,-138.375,-0.120,183.754
neckline edge,-96.6137,-138.446,0.064,183.810
neckline edge,-96.5279,-138.516,0.249,183.867
neckline edge,-96.4421,-138.588,0.433,183.925
neckline edge,-96.3562,-138.659,0.618,183.983
neckline edge,-96.2704,-138.730,0.802,184.041
neckline edge,-96.1845,-138.802,0.987,184.100
neckline edge,-96.0987,-138.874,1.171,184.160
neckline edge,-96.0129,-138.946,1.355,184.220
neckline edge,-95.9270,-139.018,1.539,184.281
neckline edge,-95.8412,-139.090,1.723,184.342
neckline edge,-95.7553,-139.162,1.907,184.403
neckline edge,-95.6695,-139.235,2.091,184.465
neckline edge,-95.5837,-139.308,2.274,184.528
neckline edge,-95.4978,-139.381,2.458,184.591
neckline edge,-95.4120,-139.454,2.642,184.655
neckline edge,-95.3261,-139.528,2.825,184.719
neckline edge,-95.2403,-139.602,3.008,184.784
neckline edge,-95.1545,-139.676,3.192,184.850
neckline edge,-95.0686,-139.750,3.375,184.916
neckline edge,-94.9828,-139.824,3.558,184.982
neckline edge,-94.8969,-139.899,3.741,185.050
neckline edge,-94.8111,-139.974,3.924,185.117
neckline edge,-94.7253,-140.049,4.107,185.186
neckline edge,-94.6394,-140.124,4.290,185.255
neckline edge,-94.5536,-140.200,4.472,185.324
neckline edge,-94.4677,-140.276,4.654,185.394
neckline edge,-94.3819,-140.352,4.837,185.465
neckline edge,-94.2960,-140.428,5.019,185.536
neckline edge,-94.2102,-140.505,5.201,185.608
neckline edge,-94.1244,-140.581,5.384,185.681
neckline edge,-94.0385,-140.659,5.565,185.754
neckline edge,-93.9527,-140.736,5.747,185.828
neckline edge,-93.8668,-140.814,5.928,185.902
neckline edge,-93.7810,-140.892,6.109,185.978
neckline edge,-93.6952,-140.970,6.291,186.053
neckline edge,-93.6093,-141.049,6.472,186.130
neckline edge,-93.5235,-141.128,6.653,186.207
neckline edge,-93.4376,-141.207,6.834,186.285
neckline edge,-93.3518,-141.286,7.014,186.363
neckline edge,-93.2660,-141.366,7.195,186.442
neckline edge,-93.1801,-141.446,7.375,186.522
neckline edge,-93.0943,-141.526,7.555,186.602
neckline edge,-93.0084,-141.607,7.736,186.684
neckline edge,-92.9226,-141.688,7.915,186.765
neckline edge,-92.8368,-141.769,8.095,186.848
neckline edge,-92.7509,-141.851,8.274,186.931
neckline edge,-92.6651,-141.933,8.453,187.015
neckline edge,-92.5792,-142.015,8.632,187.100
neckline edge,-92.4934,-142.098,8.812,187.185
neckline edge,-92.4076,-142.180,8.990,187.271
neckline edge,-92.3217,-142.264,9.168,187.358
neckline edge,-92.2359,-142.347,9.347,187.446
neckline edge,-92.1500,-142.431,9.525,187.534
neckline edge,-92.0642,-142.515,9.702,187.623
neckline edge,-91.9783,-142.599,9.880,187.713
neckline edge,-91.8925,-142.684,10.058,187.803
neckline edge,-91.8067,-142.769,10.235,187.894
neckline edge,-91.7208,-142.855,10.411,187.987
neckline edge,-91.6350,-142.940,10.588,188.079
neckline edge,-91.5491,-143.026,10.765,188.173
neckline edge,-91.4633,-143.113,10.941,188.267
neckline edge,-91.3775,-143.199,11.117,188.362
neckline edge,-91.2916,-143.286,11.292,188.458
neckline edge,-91.2058,-143.374,11.468,188.555
neckline edge,-91.1199,-143.461,11.643,188.653
neckline edge,-91.0341,-143.549,11.818,188.751
neckline edge,-90.9483,-143.637,11.993,188.850
neckline edge,-90.8624,-143.726,12.167,188.950
neckline edge,-90.7766,-143.815,12.341,189.051
neckline edge,-90.6907,-143.904,12.515,189.152
neckline edge,-90.6049,-143.993,12.689,189.255
neckline edge,-90.5191,-144.083,12.862,189.358
neckline edge,-90.4332,-144.173,13.035,189.462
neckline edge,-90.3474,-144.263,13.207,189.567
neckline edge,-90.2615,-144.354,13.380,189.673
neckline edge,-90.1757,-144.444,13.552,189.779
neckline edge,-90.0899,-144.536,13.723,189.887
neckline edge,-90.0040,-144.627,13.895,189.995
neckline edge,-89.9182,-144.728,14.064,190.112
neckline edge,-89.8323,-144.850,14.229,190.247
neckline edge,-89.7465,-144.992,14.389,190.400
neckline edge,-89.6606,-145.153,14.545,190.570
neckline edge,-89.5748,-145.334,14.696,190.758
neckline edge,-89.4890,-145.533,14.843,190.963
neckline edge,-89.4031,-145.750,14.985,191.184
neckline edge,-89.3173,-145.984,15.123,191.421
neckline edge,-89.2314,-146.234,15.256,191.674
neckline edge,-89.1456,-146.500,15.385,191.944
neckline edge,-89.0598,-146.780,15.508,192.228
neckline edge,-88.9739,-147.075,15.627,192.528
neckline edge,-88.8881,-147.382,15.741,192.842
neckline edge,-88.8022,-147.702,15.849,193.171
neckline edge,-88.7164,-148.032,15.953,193.514
neckline edge,-88.6306,-148.373,16.052,193.872
neckline edge,-88.5447,-148.723,16.145,194.242
neckline edge,-88.4589,-149.080,16.233,194.627
neckline edge,-88.3730,-149.444,16.316,195.024
neckline edge,-88.2872,-149.814,16.394,195.434
neckline edge,-88.2014,-150.187,16.466,195.856
neckline edge,-88.1155,-150.563,16.534,196.291
neckline edge,-88.0297,-150.941,16.595,196.737
neckline edge,-87.9438,-151.318,16.652,197.195
neckline edge,-87.8580,-151.693,16.703,197.665
neckline edge,-87.7722,-152.065,16.749,198.145
neckline edge,-87.6863,-152.432,16.790,198.636
neckline edge,-87.6005,-152.793,16.826,199.138
neckline edge,-87.5146,-153.145,16.856,199.649
neckline edge,-87.4288,-153.486,16.881,200.170
neckline edge,-87.3429,-153.816,16.902,200.701
neckline edge,-87.2571,-154.131,16.917,201.241
neckline edge,-87.1713,-154.431,16.928,201.790
neckline edge,-87.0854,-154.712,16.934,202.348
neckline edge,-86.9996,-154.973,16.935,202.914
neckline edge,-86.9137,-155.218,16.932,203.488
neckline edge,-86.8279,-155.465,16.925,204.069
neckline edge,-86.7421,-155.719,16.913,204.658
neckline edge,-86.6562,-155.979,16.898,205.255
neckline edge,-86.5704,-156.246,16.879,205.858
neckline edge,-86.4845,-156.517,16.856,206.467
neckline edge,-86.3987,-156.794,16.831,207.083
neckline edge,-86.3129,-157.074,16.803,207.705
neckline edge,-86.2270,-157.358,16.773,208.333
neckline edge,-86.1412,-157.644,16.741,208.965
neckline edge,-86.0553,-157.932,16.707,209.603
neckline edge,-85.9695,-158.221,16.673,210.246
neckline edge,-85.8837,-158.510,16.638,210.893
neckline edge,-85.7978,-158.799,16.602,211.545
neckline edge,-85.7120,-159.086,16.567,212.200
neckline edge,-85.6261,-159.371,16.532,212.859
